cmteid,PAC Name,cycle,Total,Gun_Control,Gun_Rights,,
C00688655,Everytown for Gun Safety Victory Fund,2020,"$21,202,222","$21,202,222",$0,,
C00741710,NRA Victory Fund,2020,"$19,452,528",$0,"$19,452,528",,
C00053553,National Rifle Assn,2020,"$9,007,421",$0,"$9,007,421",,"This table shows the money spent by gun rights and gun control groups supporting or opposing candidates through independent expenditures, electioneering communications, or communication costs, by cycle.  "
C00540443,Giffords PAC,2020,"$2,047,339","$2,047,339",$0,,
C00764522,Gun Owners Action Fund,2020,"$1,951,301",$0,"$1,951,301",,
C90011693,Gun Owners of America,2020,"$1,080,788",$0,"$1,080,788",,
C70000716,NRA Institute for Legislative Action,2020,"$895,451",$0,"$895,451",,
C00541433,Hunter Action Fund,2020,"$392,163",$0,"$392,163",,
C00674093,Brady PAC,2020,"$226,120","$226,120",$0,,
C00122101,Safari Club International,2020,"$190,000",$0,"$190,000",,
C00742635,Gun Rights America,2020,"$126,246",$0,"$126,246",,
C00481200,National Assn for Gun Rights,2020,"$31,984",$0,"$31,984",,
C90019837,Brady Campaign to Prevent Gun Violence,2020,"$24,082","$24,082",$0,,"Based on data released daily by the FEC on March 25, 2021.  If you have questions about the data shown here, please contact Alex Baumgart at abaumgart@crp.org"
C00322958,Montana Shooting Sports Assn,2020,"$16,126",$0,"$16,126",,
C00640086,Everytown for Gun Safety Action Fund,2020,"$13,947","$13,947",$0,,
C00354605,Grass Roots NC/Forum for Firearms Educ,2020,"$11,783",$0,"$11,783",,
C00760454,FPC American Victory Fund,2020,"$10,656",$0,"$10,656",,
C90018490,United to Change Our Gun Laws,2020,"$5,915","$5,915",$0,,
C00679118,Families vs Assault Rifles PAC,2020,$0,$0,$0,,
C00278101,Gun Owners of America,2020,$0,$0,$0,,
C00627794,North Carolina Gun Rights PAC,2020,$0,$0,$0,,
C00737304,People Against School Shootings,2020,$0,$0,$0,,
C00620427,Pride Fund to End Gun Violence,2020,$0,$0,$0,,
C00763979,Veterans for Gun Reform,2020,$0,$0,$0,,
C00053553,National Rifle Assn,2018,"$8,204,264",$0,"$8,204,264",,
C00540443,Giffords PAC,2018,"$6,149,280","$6,149,280",$0,,
